alterimagetext,date,description,domainname,imagepath,label,link,tags,title
"Authorities Claim LockBit Admin ""LockBitSupp"" Has Engaged with Law Enforcement","Feb 25, 2024"," LockBitSupp, the individual(s) behind the persona representing the LockBit ransomware service on cybercrime forums such as Exploit and XSS, ""has engaged with law enforcement,"" authorities said. The development comes following the  takedown  of the prolific ransomware-as-a-service (RaaS) operation as part of a coordinated international operation codenamed Cronos. Over 14,000 rogue accounts on third-party services like Mega, Protonmail, and Tutanota used by the criminals have been shuttered. ""We know who he is. We know where he lives. We know how much he is worth. LockbitSupp has engaged with law enforcement,"" according to a  message  posted on the now-seized (and offline) dark web data leak site. The move has been  interpreted  by long-term watchers of LockBit as an attempt to create suspicion and sow the seeds of distrust among affiliates, ultimately undermining trust in the group within the cybercrime ecosystem. According to research published by Analyst1 in A",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj5xrv3BUpxdTQySXPFni8fpn9yXjmkHyKmUlj0ucy2IhxcSZAfPBN4kEqbCwqzKPQ_QBiYEdD_TBrOag-wY6e1jiF7kRlQ2L1jd0ge3q8Fq-25tQgM1yqP6u_hF5RNCsIMVA3Gy21dl4nGEVYqW0KFhaa-Z-gvaZbEsbu_4aFXNkANWnaHrWBJ7CSC-Qxd/s728-rw-e365/fbi.jpg,"
,
,
",https://thehackernews.com/2024/02/authorities-claim-lockbit-admin.html,Cybercrime / Ransomware,"Authorities Claim LockBit Admin ""LockBitSupp"" Has Engaged with Law Enforcement"
Microsoft Expands Free Logging Capabilities for all U.S. Federal Agencies,"Feb 24, 2024"," Microsoft has expanded free logging capabilities to all U.S. federal agencies using Microsoft Purview Audit irrespective of the license tier, more than six months after a China-linked cyber espionage campaign targeting two dozen organizations came to light. ""Microsoft will automatically enable the logs in customer accounts and increase the default log retention period from 90 days to 180 days,"" the U.S. Cybersecurity and Infrastructure Security Agency (CISA)  said . ""Also, this data will provide new telemetry to help more federal agencies meet logging requirements mandated by [Office of Management and Budget]  Memorandum M-21-31 ."" Microsoft, in July 2023,  disclosed  that a China-based nation-state activity group known as Storm-0558 gained unauthorized access to approximately 25 entities in the U.S. and Europe as well as a small number of related individual consumer accounts. ""Storm-0558 operates with a high degree of technical tradecraft and operational",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiyYfojJSqdIoSFAUQiKjssiS_ODeJrTiELPIXBgO9P1PT7BMWYBKNvodylXfVsLfh2sOrhWOlnKkjrTeWfpjzTUriFME6B7NscVt3WFKVFZ4AihtoWP8XKVQkogX_JYDebhn7qG2qj5oRW5tkLjB2DsOEmKAT_tH-uGvahAvq80ejxXouILu7Y46J9n5Fn/s728-rw-e365/MS.jpg,"
,
,
",https://thehackernews.com/2024/02/microsoft-expands-free-logging.html,Active Directory / Data Protection,Microsoft Expands Free Logging Capabilities for all U.S. Federal Agencies
How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities ,"Feb 15, 2024"," With many of the highly publicized 2023 cyber attacks revolving around one or more SaaS applications, SaaS has become a cause for genuine concern in many boardroom discussions. More so than ever, considering that GenAI applications are, in fact, SaaS applications. Wing Security (Wing), a SaaS security company, conducted an analysis of 493 SaaS-using companies in Q4 of 2023.  Their study reveals  how companies use SaaS today, and the wide variety of threats that result from that usage. This unique analysis provides rare and important insights into the breadth and depth of SaaS-related risks, but also provides practical tips to mitigate them and ensure SaaS can be widely used without compromising security posture.  The TL;DR Version Of SaaS Security 2023 brought some now infamous examples of malicious players leveraging or directly targeting SaaS, including the North Korean group UNC4899, 0ktapus ransomware group, and Russian Midnight Blizzard APT, which targeted well-known organizat",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhCb3lbR5kKaNE9_BRADHrZqnNzA8MYLNnIDfJ8esB94HKtdiQsqC0exNVk5hWYeLbeUYgQyjqJoIshnKImmBKXjjSU_QWjoQnFtll_ge1xVfpf-nAl_f15ERLDetjxzj__ejnde7ebtIh3E27BN3Xm5UTrexnvX5p7oL_dT8oq25Pl5jwRT1UqeQb4VO8/s728-rw-e365/wing.jpg,,https://thehackernews.com/2024/02/how-nation-state-actors-target-your.html,SaaS Security / Risk Management,How Nation-State Actors Target Your Business: New Research Exposes Major SaaS Vulnerabilities 
 Dormant PyPI Package Compromised to Spread Nova Sentinel Malware,"Feb 23, 2024"," A dormant package available on the Python Package Index (PyPI) repository was updated nearly after two years to propagate an information stealer malware called Nova Sentinel. The package, named  django-log-tracker , was first published to PyPI in April 2022, according to software supply chain security firm Phylum, which  detected  an anomalous update to the library on February 21, 2024. While the  linked GitHub repository  hasn't been updated since April 10, 2022, the introduction of a malicious update suggests a likely compromise of the PyPI account belonging to the developer. Django-log-tracker has been  downloaded 3,866 times  to date, with the rogue version (1.0.4) downloaded 107 times on the date it was published. The package is no longer available for download from PyPI. ""In the malicious update, the attacker stripped the package of most of its original content, leaving only an __init__.py and example.py file behind,"" the company said. The changes, simple and",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLFThBVEc7CSkilijAy01RzPcy-KuZVYP2Uu4dm5_MwYrxGsBelJIvWvuUFOCPRkO8m03vzQONeH69uCB2PVekPn9-ADPNae8kgsHU7JEvnaE1IJ6GHJD0RwaWByeSENRv5R07-Goc-UZHmFLv6475qDYy0FCtW7dzxkXtIoPQ9HR_ZywWEs2tTSAmc5OA/s728-rw-e365/sython.jpg,"
,
,
",https://thehackernews.com/2024/02/dormant-pypi-package-compromised-to.html,Supply Chain Attack / Malware, Dormant PyPI Package Compromised to Spread Nova Sentinel Malware
Microsoft Releases PyRIT - A Red Teaming Tool for Generative AI,"Feb 23, 2024"," Microsoft has released an open access automation framework called  PyRIT  (short for Python Risk Identification Tool) to proactively identify risks in generative artificial intelligence (AI) systems. The red teaming tool is designed to ""enable every organization across the globe to innovate responsibly with the latest artificial intelligence advances,"" Ram Shankar Siva Kumar, AI red team lead at Microsoft,  said . The company said PyRIT could be used to assess the robustness of large language model (LLM) endpoints against different harm categories such as fabrication (e.g., hallucination), misuse (e.g., bias), and prohibited content (e.g., harassment). It can also be used to identify security harms ranging from malware generation to jailbreaking, as well as privacy harms like identity theft. PyRIT comes with five interfaces: target, datasets, scoring engine, the ability to support multiple attack strategies, and incorporating a memory component that can either take the ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_HwkesnmtsT_nLK-15tI3N-OIF24qFDpWnNJzv1EHs3xhgj_FXedqNCKjQC5tg1sFJmyU0KtiKKYxeWq5hPTtJ0ZrlZy-_HZuEkacA9B0OXT5rrrOKghyphenhyphen6TZ5LR2vrgNAe9sXGYMlIZP3HL2WfA-Zr4tuUbQgxhA27sHDN-HYNj59CL62GYBgZMwE_dMR/s728-rw-e365/ai.jpg,"
,
,
",https://thehackernews.com/2024/02/microsoft-releases-pyrit-red-teaming.html,Red Teaming / Artificial Intelligence,Microsoft Releases PyRIT - A Red Teaming Tool for Generative AI
How to Use Tines's SOC Automation Capability Matrix,"Feb 23, 2024"," Created by John Tuckner and the team at workflow and automation platform  Tines , the  SOC Automation Capability Matrix (SOC ACM)  is a set of techniques designed to help security operations teams understand their automation capabilities and respond more effectively to incidents.  A customizable, vendor-agnostic tool featuring lists of automation opportunities, it's been shared and recommended by members of the security community since its launch in January 2023, notably by Airbnb engineer Allyn Stott in his BSides and Black Hat talk,  How I Learned to Stop Worrying and Build a Modern Detection & Response Program .   The SOC ACM has been compared to the MITRE ATT&CK and RE&CT frameworks, with one user saying, ""it could be a standard for classification of SOAR automations, a bit like the RE&CT framework, but with more automation focus."" It's been used by organizations in Fintech, Cloud Security, and beyond, as a basis for assessing and optimizing their securi",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLsIf4w7lxXyZ9c4ZrcpNK0hVXe44s9avr45v59SvccC39u2hp61xXj7a2T6lR9XI9Uwx81eAMCj_Xc9ynTgwtLnTmJasPcvmr7eWl-AYtvukt7TstFEISmdpJyze2heA9A20DpdycttKSYC3Ppl_72E525WcxJej387fDRqcQewSXGW_7LF6MFCnlF8A/s728-rw-e365/Tines-SOC-Automation-Capability-Matrix-article1.jpg,"
,
,
",https://thehackernews.com/2024/02/how-to-use-tiness-soc-automation.html,SOC Automation / Security Operation,How to Use Tines's SOC Automation Capability Matrix
Researchers Detail Apple's Recent Zero-Click Shortcuts Vulnerability,"Feb 23, 2024"," Details have emerged about a now-patched high-severity security flaw in Apple's Shortcuts app that could permit a shortcut to access sensitive information on the device without users' consent. The vulnerability, tracked as  CVE-2024-23204  (CVSS score: 7.5), was addressed by Apple on January 22, 2024, with the release of  iOS 17.3, iPadOS 17.3 ,  macOS Sonoma 14.3 , and  watchOS 10.3 . ""A shortcut may be able to use sensitive data with certain actions without prompting the user,"" the iPhone maker said in an advisory, stating it was fixed with ""additional permissions checks."" Apple Shortcuts is a  scripting application  that allows users to create personalized workflows (aka macros) for  executing   specific tasks  on their devices. It comes installed by default on iOS, iPadOS, macOS, and watchOS operating systems. Bitdefender security researcher Jubaer Alnazi Jabin, who discovered and reported the Shortcuts bug, said it could be weaponized to create a ",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiPxdOVPYTTeCnlzCgNmxUCrCVZDbo8x2q21VjHATMIVssSOyayFtO9eOLuygzc23b6gKDC1PSVH-FgXMckKcovLyxIWtDs_hXm-duOgG9CewwmVROuwA3kkkiTTPx4uKQn_pu2r7vnq2VhZ8nPsckQ1nbZXH6GclLkBlgJU4DcUINkNcqHGn21tgtmSn_r/s728-rw-e365/apple.jpg,"
,
,
",https://thehackernews.com/2024/02/researchers-detail-apples-recent-zero.html,Data Privacy / iOS Security,Researchers Detail Apple's Recent Zero-Click Shortcuts Vulnerability
FTC Slams Avast with $16.5 Million Fine for Selling Users' Browsing Data,"Feb 23, 2024"," The U.S. Federal Trade Commission (FTC) has hit antivirus vendor Avast with a $16.5 million fine over charges that the firm sold users' browsing data to advertisers after claiming its products would block online tracking. In addition, the company has been banned from selling or licensing any web browsing data for advertising purposes. It will also have to notify users whose browsing data was sold to third-parties without their consent. The FTC, in its complaint,  said  Avast ""unfairly collected consumers' browsing information through the company's browser extensions and antivirus software, stored it indefinitely, and sold it without adequate notice and without consumer consent."" It also accused the U.K.-based company of deceiving users by claiming that the software would block third-party tracking and protect users' privacy, but failing to inform them that it would sell their ""detailed, re-identifiable browsing data"" to more than 100 third-partie",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi4CkF0FKmQkSKVnLecasyDcNvbolw8jlgsCh7i43vbtEBYq70p-8v8M3FmNlMZL4toXP8MOioKQ6o6diIS3b8unxjoh8E6K5bQYdebD41oVcGHmT19Z36txtw8PPcA_Oo83oZ5MbHhefLnPel5jh073XdA88Jpk2FRsXgtS2dc43lUU8KwNW7_jsiF7FRk/s728-rw-e365/avast.jpg,"
,
,
",https://thehackernews.com/2024/02/ftc-slams-avast-with-165-million-fine.html,Privacy / Regulatory Compliance,FTC Slams Avast with $16.5 Million Fine for Selling Users' Browsing Data
Apple Unveils PQ3 Protocol - Post-Quantum Encryption for iMessage,"Feb 22, 2024"," Apple has announced a new post-quantum cryptographic protocol called  PQ3  that it said will be integrated into iMessage to secure the messaging platform against future attacks arising from the threat of a practical quantum computer. ""With compromise-resilient encryption and extensive defenses against even highly sophisticated quantum attacks, PQ3 is the first messaging protocol to reach what we call Level 3 security — providing protocol protections that surpass those in all other widely deployed messaging apps,"" Apple  said . The iPhone maker described the protocol as ""groundbreaking,"" ""state-of-the-art,"" and as having the ""strongest security properties"" of any cryptographic convention deployed at scale. PQ3 is the latest security guardrail erected by Apple in iMessage after it switched from  RSA  to Elliptic Curve cryptography ( ECC ), and by protecting encryption keys on devices with the Secure Enclave in 2019. While the current algorith",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiu4puJfO2DjDVSsbbpt6B5zBAw6fTc1GoO7Y93Iydwuf20PiQTq-7qUVG_gDwro0xwZE-GoJsZD1zqRusmZmfJo_ipnA88w98ACeuAQHq9ZRkqkHUfGwAwUfECdJufrd5TNHxg_oqiEp_0hZ02XNEf9YkY9Fwes8wFmgQXRFHFrOGyOgDRuFtaqJyHbaZH/s728-rw-e365/apple.jpg,"
,
,
",https://thehackernews.com/2024/02/apple-unveils-pq3-protocol-post-quantum.html,Quantum Computing / Encryption,Apple Unveils PQ3 Protocol - Post-Quantum Encryption for iMessage
Cybercriminals Weaponizing Open-Source SSH-Snake Tool for Network Attacks,"Feb 22, 2024"," A recently open-sourced network mapping tool called  SSH-Snake  has been repurposed by threat actors to conduct malicious activities. ""SSH-Snake is a self-modifying worm that leverages SSH credentials discovered on a compromised system to start spreading itself throughout the network,"" Sysdig researcher Miguel Hernández  said . ""The worm automatically searches through known credential locations and shell history files to determine its next move."" SSH-Snake was first released on GitHub in early January 2024, and is described by its developer as a ""powerful tool"" to carry out  automatic network traversal  using SSH private keys discovered on systems. In doing so, it creates a comprehensive map of a network and its dependencies, helping determine the extent to which a network can be compromised using SSH and SSH private keys starting from a particular host. It also supports  resolution of domains  which have multiple IPv4 addresses. ""It's comp",thehackernews.com,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhzS9ApKf9qeb9o5Y2LcxqESomxrcUsYmTXjjGug5b2i3K6lYD7hYx8NFXWeIn8msh3hr0yy3jUJ4RWf8n6hD4k8jiJO9Dz1vW3CBCcmwKG-a_1Lx5HES3csVB9x8x1dqVUMgnveroustRiN-KDgmlan9KUFpVFoxs33LSvrNmJegzA5kZXvzB-SPmU0PMk/s728-rw-e365/ssh-malware.jpg,"
,
,
",https://thehackernews.com/2024/02/cybercriminals-weaponizing-open-source.html,Network Security / Penetration Testing,Cybercriminals Weaponizing Open-Source SSH-Snake Tool for Network Attacks
